Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,25628.23046875,25632.5703125,25357.69921875,25406.330078125,25406.330078125,13400
2016-01-07,25224.69921875,25230.349609375,24825.69921875,24851.830078125,24851.830078125,11800
2016-01-08,24969.01953125,25083.55078125,24887.220703125,24934.330078125,24934.330078125,15900
2016-01-11,24787.109375,24961.880859375,24598.900390625,24825.0390625,24825.0390625,10600
2016-01-12,24862.9296875,24882.30078125,24597.109375,24682.029296875,24682.029296875,10300
2016-01-13,24804.640625,24956.5390625,24387.689453125,24854.109375,24854.109375,14000
2016-01-14,24606.19921875,25018.4609375,24473.220703125,24772.970703125,24772.970703125,14900
2016-01-15,24881.759765625,24912.640625,24421.529296875,24455.0390625,24455.0390625,12700
2016-01-18,24400.779296875,24524.849609375,24141.990234375,24188.369140625,24188.369140625,13600
2016-01-19,24257.279296875,24563.33984375,24247.23046875,24479.83984375,24479.83984375,9400
2016-01-20,24325.76953125,24325.76953125,23839.759765625,24062.0390625,24062.0390625,12800
2016-01-21,24194.75,24351.830078125,23862.0,23962.2109375,23962.2109375,13200
2016-01-22,24122.060546875,24472.880859375,24120.0390625,24435.66015625,24435.66015625,10100
2016-01-25,24540.970703125,24650.5703125,24433.669921875,24485.94921875,24485.94921875,8900
2016-01-27,24643.130859375,24645.69921875,24458.130859375,24492.390625,24492.390625,8500
2016-01-28,24481.859375,24587.19921875,24400.51953125,24469.5703125,24469.5703125,8400
2016-01-29,24347.310546875,24911.900390625,24340.060546875,24870.689453125,24870.689453125,12400
2016-02-01,24982.220703125,25002.3203125,24788.580078125,24824.830078125,24824.830078125,10100
2016-02-02,24868.2109375,24928.75,24460.529296875,24539.0,24539.0,12700
2016-02-03,24393.58984375,24409.259765625,24187.5390625,24223.3203125,24223.3203125,12200
2016-02-04,24386.44921875,24514.009765625,24224.740234375,24338.4296875,24338.4296875,12200
2016-02-05,24360.359375,24672.900390625,24345.7890625,24616.970703125,24616.970703125,13400
2016-02-08,24637.41015625,24698.94921875,24196.83984375,24287.419921875,24287.419921875,11700
2016-02-09,24076.849609375,24111.189453125,23919.470703125,24020.98046875,24020.98046875,11500
2016-02-10,23938.3203125,23938.3203125,23636.720703125,23758.900390625,23758.900390625,19400
2016-02-11,23758.4609375,23758.4609375,22909.119140625,22951.830078125,22951.830078125,23200
2016-02-12,23060.390625,23161.150390625,22600.390625,22986.119140625,22986.119140625,25100
2016-02-15,23223.4296875,23622.640625,23197.669921875,23554.119140625,23554.119140625,20400
2016-02-16,23688.609375,23692.080078125,23164.5390625,23191.970703125,23191.970703125,22200
2016-02-17,23237.23046875,23434.91015625,22920.83984375,23381.869140625,23381.869140625,16600
2016-02-18,23536.470703125,23735.349609375,23448.2109375,23649.220703125,23649.220703125,15700
2016-02-19,23640.3203125,23774.48046875,23508.359375,23709.150390625,23709.150390625,11600
2016-02-22,23783.470703125,23855.0390625,23674.859375,23788.7890625,23788.7890625,9500
2016-02-23,23850.41015625,23851.509765625,23361.939453125,23410.1796875,23410.1796875,16700
2016-02-24,23332.939453125,23338.890625,23057.44921875,23088.9296875,23088.9296875,14000
2016-02-25,23105.16015625,23142.9609375,22948.099609375,22976.0,22976.0,15900
2016-02-26,23141.080078125,23227.91015625,23021.939453125,23154.30078125,23154.30078125,11500
2016-02-29,23238.5,23343.220703125,22494.609375,23002.0,23002.0,58900
2016-03-01,23153.3203125,23821.490234375,23133.1796875,23779.349609375,23779.349609375,15700
2016-03-02,24044.9609375,24280.419921875,24043.890625,24242.98046875,24242.98046875,22800
2016-03-03,24386.669921875,24640.509765625,24383.279296875,24606.990234375,24606.990234375,19500
2016-03-04,24704.58984375,24719.05078125,24531.80078125,24646.48046875,24646.48046875,17500
2016-03-08,24655.189453125,24793.619140625,24509.2109375,24659.23046875,24659.23046875,26000
2016-03-09,24527.26953125,24820.759765625,24451.599609375,24793.9609375,24793.9609375,11900
2016-03-10,24815.69921875,24817.48046875,24471.390625,24623.33984375,24623.33984375,14400
2016-03-11,24620.390625,24817.80078125,24552.259765625,24717.990234375,24717.990234375,14800
2016-03-14,24801.69921875,24960.509765625,24734.0390625,24804.279296875,24804.279296875,30100
2016-03-15,24832.0390625,24840.76953125,24517.279296875,24551.169921875,24551.169921875,12100
2016-03-16,24537.609375,24706.849609375,24354.55078125,24682.48046875,24682.48046875,11000
2016-03-17,24852.1796875,24948.30078125,24576.51953125,24677.369140625,24677.369140625,14600
2016-03-18,24729.41015625,24986.939453125,24681.640625,24952.740234375,24952.740234375,14100
2016-03-21,25007.560546875,25327.44921875,24988.26953125,25285.369140625,25285.369140625,12400
2016-03-22,25331.009765625,25381.330078125,25083.69921875,25330.490234375,25330.490234375,12000
2016-03-23,25322.099609375,25367.810546875,25156.8203125,25337.560546875,25337.560546875,9500
2016-03-28,25417.109375,25432.939453125,24895.490234375,24966.400390625,24966.400390625,10100
